Zone,Zone_Name,District_Code,District,Block_Code,Block_Name,PC_No,PC_Name,AC_No,AC_Name,Gram_Panchayat_Code,Gram_Panchayat,Organisational_District
3,Nadia & Murshidabad,319,Murshidabad,3006,Bharatpur-I,10,Baharampur,69,Bharatpur,110576,Talgram,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3006,Bharatpur-I,10,Baharampur,69,Bharatpur,110571,Bharatpur,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3006,Bharatpur-I,10,Baharampur,69,Bharatpur,110575,Sijgram,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3006,Bharatpur-I,10,Baharampur,67,Burwan,110573,Gundiria,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3006,Bharatpur-I,10,Baharampur,67,Burwan,110574,Jajan,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3006,Bharatpur-I,10,Baharampur,67,Burwan,110572,Gadda,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan,110592,Panchthupi,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan,110584,Biprasekhar,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan,110593,Sabaldaha,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan,110595,Sahora,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan,110585,Burwan-I,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan,110589,Kharjuna,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan,110596,Sundarpur,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan,110594,Sabalpur,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan,110591,Kurunnorun,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan,110586,Burwan-Ii,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan,110590,Kuli,Berhampur
