S. No,District Code,District,Block Code,Block Name,PC No.,PC Name,AC No.,AC Name,Gram Panchayat Code,Gram Panchayat
21,664,Alipurduar,2924,Kalchini,2,Alipurduars ,11,Kalchini ,109781,Malangi
22,664,Alipurduar,2924,Kalchini,2,Alipurduars ,11,Kalchini ,109779,Kalchini
23,664,Alipurduar,2924,Kalchini,2,Alipurduars ,11,Kalchini ,109774,Chuapara
24,664,Alipurduar,2924,Kalchini,2,Alipurduars ,11,Kalchini ,109783,Rajabhatkhawa
25,664,Alipurduar,2924,Kalchini,2,Alipurduars ,11,Kalchini ,109777,Jaigaon-I
26,664,Alipurduar,2924,Kalchini,2,Alipurduars ,11,Kalchini ,109780,Latabari
27,664,Alipurduar,2924,Kalchini,2,Alipurduars ,11,Kalchini ,109782,Mendabari
28,664,Alipurduar,2924,Kalchini,2,Alipurduars ,11,Kalchini ,109775,Dalsing Para
29,664,Alipurduar,2924,Kalchini,2,Alipurduars ,11,Kalchini ,109778,Jaigaon-Ii
30,664,Alipurduar,2924,Kalchini,2,Alipurduars ,11,Kalchini ,109784,Satali
31,664,Alipurduar,2925,Kumargram,2,Alipurduars ,10,Kumargram ,109790,Kumargram
32,664,Alipurduar,2925,Kumargram,2,Alipurduars ,10,Kumargram ,109794,Valka Barabisa-I
33,664,Alipurduar,2925,Kumargram,2,Alipurduars ,10,Kumargram ,109785,Chengamari
34,664,Alipurduar,2925,Kumargram,2,Alipurduars ,10,Kumargram ,109795,Valka Barabisa-Ii
35,664,Alipurduar,2925,Kumargram,2,Alipurduars ,10,Kumargram ,109793,Turturikhanda
36,664,Alipurduar,2925,Kumargram,2,Alipurduars ,10,Kumargram ,109789,Khoardanga-Ii
37,664,Alipurduar,2925,Kumargram,2,Alipurduars ,10,Kumargram ,109787,Kamakhyaguri-Ii
38,664,Alipurduar,2925,Kumargram,2,Alipurduars ,10,Kumargram ,109786,Kamakhyaguri-I
39,664,Alipurduar,2925,Kumargram,2,Alipurduars ,10,Kumargram ,109788,Khoardanga-I
40,664,Alipurduar,2925,Kumargram,2,Alipurduars ,10,Kumargram ,109791,Newland Kumargram Sankosh
41,664,Alipurduar,2925,Kumargram,2,Alipurduars ,10,Kumargram ,109792,Raidak
42,664,Alipurduar,7483,Banarhat,2,Alipurduars ,14,Madarihat ,109735,Binnaguri
43,664,Alipurduar,2921,Dhupguri,2,Alipurduars ,14,Madarihat ,109744,Sakoyajhora-I
44,314,Jalpaiguri,7483,Banarhat,2,Alipurduars ,21,Nagrakata ,109736,Chamurchi
45,314,Jalpaiguri,7483,Banarhat,2,Alipurduars ,21,Nagrakata ,109733,Banarhat-Ii
46,308,Cooch Behar,2856,Tufanganj-I,2,Alipurduars ,9,Tufanganj ,109026,Andaran-Fulbari-I
47,308,Cooch Behar,2856,Tufanganj-I,2,Alipurduars ,9,Tufanganj ,109028,Balabhut
48,308,Cooch Behar,2856,Tufanganj-I,2,Alipurduars ,9,Tufanganj ,109034,Dhalpal-I
49,308,Cooch Behar,2856,Tufanganj-I,2,Alipurduars ,9,Tufanganj ,109037,Nakkatigachh
50,318,Paschim Medinipur,2978,Daspur-I,29,Arambag ,232,Chandrakona ,110277,Niznarajol
51,704,Paschim Bardhaman,2825,Raniganj,40,Asansol,280,Asansol Dakshin ,108739,Amrasota
52,704,Paschim Bardhaman,2825,Raniganj,40,Asansol,280,Asansol Dakshin ,108742,Jemeri
