S. No,District Code,District,Block Code,Block Name,PC No.,PC Name,AC No.,AC Name,Gram Panchayat Code,Gram Panchayat
577,304,South 24 Parganas,2746,Basanti,19,Jaynagar ,128,Basanti ,108001,Foolmalancha
578,304,South 24 Parganas,2746,Basanti,19,Jaynagar ,128,Basanti ,108003,Jyotishpur
579,304,South 24 Parganas,2746,Basanti,19,Jaynagar ,128,Basanti ,108007,Ramchandrakhali
580,304,South 24 Parganas,2746,Basanti,19,Jaynagar ,128,Basanti ,108002,Jharkhali
581,304,South 24 Parganas,2754,Canning-Ii,19,Jaynagar ,128,Basanti ,108077,Atharobanki
582,304,South 24 Parganas,2754,Canning-Ii,19,Jaynagar ,138,Canning Paschim ,108082,Narayanpur
583,304,South 24 Parganas,2747,Bhangar-I,19,Jaynagar ,139,Canning Purba ,108017,Tarda
584,304,South 24 Parganas,2747,Bhangar-I,19,Jaynagar ,139,Canning Purba ,108012,Durgapur
585,304,South 24 Parganas,2747,Bhangar-I,19,Jaynagar ,139,Canning Purba ,108016,Shanksahar
586,304,South 24 Parganas,2747,Bhangar-I,19,Jaynagar ,139,Canning Purba ,108009,Bodra
587,304,South 24 Parganas,2747,Bhangar-I,19,Jaynagar ,139,Canning Purba ,108010,Chandaneswar-I
588,304,South 24 Parganas,2747,Bhangar-I,19,Jaynagar ,139,Canning Purba ,108011,Chandaneswar-Ii
589,304,South 24 Parganas,2754,Canning-Ii,19,Jaynagar ,139,Canning Purba ,108084,Tambuldaha-I
590,304,South 24 Parganas,2754,Canning-Ii,19,Jaynagar ,139,Canning Purba ,108079,Deuli-Ii
591,304,South 24 Parganas,2754,Canning-Ii,19,Jaynagar ,139,Canning Purba ,108083,Sarengabad
592,304,South 24 Parganas,2754,Canning-Ii,19,Jaynagar ,139,Canning Purba ,108078,Deuli-I
593,304,South 24 Parganas,2754,Canning-Ii,19,Jaynagar ,139,Canning Purba ,108085,Tambuldaha-Ii
594,304,South 24 Parganas,2754,Canning-Ii,19,Jaynagar ,139,Canning Purba ,108080,Kalikatala
595,304,South 24 Parganas,2754,Canning-Ii,19,Jaynagar ,139,Canning Purba ,108081,Matherdighi
596,304,South 24 Parganas,2746,Basanti,19,Jaynagar ,127,Gosaba ,108000,Chunakhali
597,304,South 24 Parganas,2746,Basanti,19,Jaynagar ,127,Gosaba ,108005,Maszidbati
598,304,South 24 Parganas,2759,Jaynagar-I,19,Jaynagar ,136,Jaynagar ,108132,Dakshin Barasat
599,304,South 24 Parganas,2759,Jaynagar-I,19,Jaynagar ,136,Jaynagar ,108140,Uttar Durgapur
600,304,South 24 Parganas,2759,Jaynagar-I,19,Jaynagar ,136,Jaynagar ,108134,Harinarayanpur
601,304,South 24 Parganas,2759,Jaynagar-I,19,Jaynagar ,136,Jaynagar ,108138,Rajapur Korabeg
602,304,South 24 Parganas,2759,Jaynagar-I,19,Jaynagar ,136,Jaynagar ,108139,Sripur
603,304,South 24 Parganas,2760,Jaynagar-Ii,19,Jaynagar ,136,Jaynagar ,108150,Sahajadapur
604,304,South 24 Parganas,2760,Jaynagar-Ii,19,Jaynagar ,136,Jaynagar ,108144,Futigoda
605,304,South 24 Parganas,2760,Jaynagar-Ii,19,Jaynagar ,136,Jaynagar ,108142,Beledurganagar
606,304,South 24 Parganas,2760,Jaynagar-Ii,19,Jaynagar ,136,Jaynagar ,108148,Mayda
607,304,South 24 Parganas,2760,Jaynagar-Ii,19,Jaynagar ,136,Jaynagar ,108145,Gardoani
608,304,South 24 Parganas,2760,Jaynagar-Ii,19,Jaynagar ,136,Jaynagar ,108147,Mayahauri
609,304,South 24 Parganas,2760,Jaynagar-Ii,19,Jaynagar ,129,Kultali ,108141,Baishata
610,304,South 24 Parganas,2760,Jaynagar-Ii,19,Jaynagar ,129,Kultali ,108143,Chuprijhara
611,304,South 24 Parganas,2760,Jaynagar-Ii,19,Jaynagar ,129,Kultali ,108146,Manirtat
612,304,South 24 Parganas,2760,Jaynagar-Ii,19,Jaynagar ,129,Kultali ,108149,Nalgora
613,318,Paschim Medinipur,2982,Garbeta-Ii,33,Jhargram ,233,Garbeta ,110331,Sarboth
614,318,Paschim Medinipur,2982,Garbeta-Ii,33,Jhargram ,233,Garbeta ,110330,Piyasala
615,318,Paschim Medinipur,2982,Garbeta-Ii,33,Jhargram ,233,Garbeta ,110322,Amlasuli
616,318,Paschim Medinipur,2982,Garbeta-Ii,33,Jhargram ,233,Garbeta ,110326,Jogardanga
617,703,Jhargram,2985,Gopiballav Pur -Ii,33,Jhargram ,221,Gopiballavpur ,110352,Beliabera
618,703,Jhargram,2985,Gopiballav Pur -Ii,33,Jhargram ,221,Gopiballavpur ,110354,Kharbandhi
619,703,Jhargram,2985,Gopiballav Pur -Ii,33,Jhargram ,221,Gopiballavpur ,110358,Tapshia
620,703,Jhargram,2985,Gopiballav Pur -Ii,33,Jhargram ,221,Gopiballavpur ,110357,Petbindhi
621,703,Jhargram,2988,Jhargram,33,Jhargram ,221,Gopiballavpur ,110379,Chubka
622,703,Jhargram,2988,Jhargram,33,Jhargram ,221,Gopiballavpur ,110376,Aguiboni
623,703,Jhargram,2988,Jhargram,33,Jhargram ,221,Gopiballavpur ,110378,Chandri
624,703,Jhargram,2988,Jhargram,33,Jhargram ,221,Gopiballavpur ,110388,Shalboni
625,703,Jhargram,2988,Jhargram,33,Jhargram ,221,Gopiballavpur ,110387,Sardiha
626,703,Jhargram,2988,Jhargram,33,Jhargram ,221,Gopiballavpur ,110383,Nedabahara
627,703,Jhargram,2988,Jhargram,33,Jhargram ,221,Gopiballavpur ,110381,Lodhasuli
628,703,Jhargram,2988,Jhargram,33,Jhargram ,221,Gopiballavpur ,110380,Dudhkundi
629,703,Jhargram,2988,Jhargram,33,Jhargram ,221,Gopiballavpur ,110384,Patashimul
630,703,Jhargram,2988,Jhargram,33,Jhargram ,222,Jhargram ,110382,Manikpara
631,703,Jhargram,2988,Jhargram,33,Jhargram ,222,Jhargram ,110377,Bandhgora
632,703,Jhargram,2988,Jhargram,33,Jhargram ,222,Jhargram ,110385,Radhanagar
633,703,Jhargram,2988,Jhargram,33,Jhargram ,222,Jhargram ,110386,Sapdhara
634,703,Jhargram,2985,Gopiballav Pur -Ii,33,Jhargram ,220,Nayagram ,110355,Kuliana
635,703,Jhargram,2985,Gopiballav Pur -Ii,33,Jhargram ,220,Nayagram ,110353,Chorchita
636,703,Jhargram,2985,Gopiballav Pur -Ii,33,Jhargram ,220,Nayagram ,110356,Nota
637,318,Paschim Medinipur,2982,Garbeta-Ii,33,Jhargram ,234,Salboni ,110325,Jeerapara
638,318,Paschim Medinipur,2982,Garbeta-Ii,33,Jhargram ,234,Salboni ,110327,Makli
639,318,Paschim Medinipur,2982,Garbeta-Ii,33,Jhargram ,234,Salboni ,110324,Gohaldanga
640,318,Paschim Medinipur,2982,Garbeta-Ii,33,Jhargram ,234,Salboni ,110328,Patharpara
641,318,Paschim Medinipur,2982,Garbeta-Ii,33,Jhargram ,234,Salboni ,110323,Goaltor
642,318,Paschim Medinipur,2982,Garbeta-Ii,33,Jhargram ,234,Salboni ,110329,Pingbani
643,318,Paschim Medinipur,2999,Salbani,33,Jhargram ,234,Salboni ,110501,Lalgeria
644,318,Paschim Medinipur,2999,Salbani,33,Jhargram ,234,Salboni ,110502,Shalboni
645,318,Paschim Medinipur,2999,Salbani,33,Jhargram ,234,Salboni ,110495,Bhimpur
646,318,Paschim Medinipur,2999,Salbani,33,Jhargram ,234,Salboni ,110497,Debgram
647,318,Paschim Medinipur,2999,Salbani,33,Jhargram ,234,Salboni ,110496,Bishnupur
648,320,Nadia,3028,Chapra,12,Krishnanagar,82,Chapra ,110785,Alfa
649,320,Nadia,3028,Chapra,12,Krishnanagar,82,Chapra ,110786,Bagberia
650,320,Nadia,3028,Chapra,12,Krishnanagar,82,Chapra ,110787,Brittihuda
651,320,Nadia,3028,Chapra,12,Krishnanagar,82,Chapra ,110796,Pipragachhi
652,320,Nadia,3028,Chapra,12,Krishnanagar,82,Chapra ,110793,Kalinga
653,320,Nadia,3028,Chapra,12,Krishnanagar,82,Chapra ,110788,Chapra-Ii
654,320,Nadia,3028,Chapra,12,Krishnanagar,82,Chapra ,110790,Hatisala-Ii
655,320,Nadia,3028,Chapra,12,Krishnanagar,82,Chapra ,110792,Hridaypur
656,320,Nadia,3028,Chapra,12,Krishnanagar,82,Chapra ,110791,Hatkhola
657,320,Nadia,3028,Chapra,12,Krishnanagar,82,Chapra ,110795,Maheshpur
658,320,Nadia,3028,Chapra,12,Krishnanagar,82,Chapra ,110794,Mahatpur
659,320,Nadia,3028,Chapra,12,Krishnanagar,82,Chapra ,244953,Chapra-I
660,320,Nadia,3028,Chapra,12,Krishnanagar,82,Chapra ,110789,Hatisala-I
661,320,Nadia,3031,Kaliganj,12,Krishnanagar,80,Kaliganj ,110823,Juranpur
662,320,Nadia,3031,Kaliganj,12,Krishnanagar,80,Kaliganj ,110821,Gobra
663,320,Nadia,3031,Kaliganj,12,Krishnanagar,80,Kaliganj ,110822,Hatgachha
664,320,Nadia,3031,Kaliganj,12,Krishnanagar,80,Kaliganj ,110820,Faridpur
665,320,Nadia,3031,Kaliganj,12,Krishnanagar,80,Kaliganj ,110825,Matiari
666,320,Nadia,3031,Kaliganj,12,Krishnanagar,80,Kaliganj ,110818,Barachandghar
667,320,Nadia,3031,Kaliganj,12,Krishnanagar,80,Kaliganj ,110824,Kaliganj
668,320,Nadia,3031,Kaliganj,12,Krishnanagar,80,Kaliganj ,110830,Plassey-I
669,320,Nadia,3031,Kaliganj,12,Krishnanagar,80,Kaliganj ,110819,Debagram
670,320,Nadia,3031,Kaliganj,12,Krishnanagar,80,Kaliganj ,110827,Mira-Ii
671,320,Nadia,3031,Kaliganj,12,Krishnanagar,80,Kaliganj ,110826,Mira-I
672,320,Nadia,3031,Kaliganj,12,Krishnanagar,80,Kaliganj ,110831,Plassey-Ii
673,320,Nadia,3031,Kaliganj,12,Krishnanagar,80,Kaliganj ,110829,Panighata
674,320,Nadia,3035,Krishnagar-I,12,Krishnanagar,85,Krishnanagar Dakshin ,110869,Ruipukur.
675,320,Nadia,3035,Krishnagar-I,12,Krishnanagar,85,Krishnanagar Dakshin ,110865,Dignagar
676,320,Nadia,3035,Krishnagar-I,12,Krishnanagar,85,Krishnanagar Dakshin ,110861,Bhatjungla
677,320,Nadia,3035,Krishnagar-I,12,Krishnanagar,85,Krishnanagar Dakshin ,110863,Chakdignagar
678,320,Nadia,3035,Krishnagar-I,12,Krishnanagar,85,Krishnanagar Dakshin ,110864,Deypara
679,320,Nadia,3035,Krishnagar-I,12,Krishnanagar,83,Krishnanagar Uttar ,110862,Bhimpur
680,320,Nadia,3035,Krishnagar-I,12,Krishnanagar,83,Krishnanagar Uttar ,110860,Bhandarkhola
681,320,Nadia,3035,Krishnagar-I,12,Krishnanagar,83,Krishnanagar Uttar ,110858,Assannagar
682,320,Nadia,3035,Krishnagar-I,12,Krishnanagar,83,Krishnanagar Uttar ,110868,Poragachha
683,320,Nadia,3035,Krishnagar-I,12,Krishnanagar,83,Krishnanagar Uttar ,110866,Dogachi
684,320,Nadia,3031,Kaliganj,12,Krishnanagar,81,Nakashipara ,110828,Palitbegia
685,320,Nadia,3031,Kaliganj,12,Krishnanagar,81,Nakashipara ,110832,Rajarmpur Ghoraikhetra
686,320,Nadia,3038,Nakashipara,12,Krishnanagar,81,Nakashipara ,110893,Dharmada
687,320,Nadia,3038,Nakashipara,12,Krishnanagar,81,Nakashipara ,110896,Majhergram
688,320,Nadia,3038,Nakashipara,12,Krishnanagar,81,Nakashipara ,110891,Birpur-Ii
689,320,Nadia,3038,Nakashipara,12,Krishnanagar,81,Nakashipara ,110886,Bethuadahari-Ii
690,320,Nadia,3038,Nakashipara,12,Krishnanagar,81,Nakashipara ,110890,Birpur-I
691,320,Nadia,3038,Nakashipara,12,Krishnanagar,81,Nakashipara ,110899,Patikabari
692,320,Nadia,3038,Nakashipara,12,Krishnanagar,81,Nakashipara ,110889,Billwagram
693,320,Nadia,3038,Nakashipara,12,Krishnanagar,81,Nakashipara ,110897,Muragachha
694,320,Nadia,3038,Nakashipara,12,Krishnanagar,81,Nakashipara ,110898,Nakashipara
695,320,Nadia,3038,Nakashipara,12,Krishnanagar,81,Nakashipara ,110894,Dogachhia
696,320,Nadia,3038,Nakashipara,12,Krishnanagar,81,Nakashipara ,110885,Bethuadahari-I
697,320,Nadia,3038,Nakashipara,12,Krishnanagar,79,Palashipara ,110888,Bilkumari
698,320,Nadia,3038,Nakashipara,12,Krishnanagar,79,Palashipara ,110887,Bikrampur
699,320,Nadia,3038,Nakashipara,12,Krishnanagar,79,Palashipara ,110895,Haranagar
700,320,Nadia,3038,Nakashipara,12,Krishnanagar,79,Palashipara ,110892,Dhananjaypur
701,320,Nadia,3042,Tehatta-I,12,Krishnanagar,79,Palashipara ,110936,Chanderghat
702,320,Nadia,3042,Tehatta-I,12,Krishnanagar,79,Palashipara ,110941,Pathatghata-Ii
703,320,Nadia,3033,Karimpur-Ii,12,Krishnanagar,78,Tehatta ,110843,Dighal Kandi
704,320,Nadia,3033,Karimpur-Ii,12,Krishnanagar,78,Tehatta ,110845,Nandanpur
705,320,Nadia,3033,Karimpur-Ii,12,Krishnanagar,78,Tehatta ,110847,Narayanpur-Ii
706,320,Nadia,3033,Karimpur-Ii,12,Krishnanagar,78,Tehatta ,110846,Narayanpur-I
707,320,Nadia,3042,Tehatta-I,12,Krishnanagar,78,Tehatta ,110937,Chhitka
708,320,Nadia,3042,Tehatta-I,12,Krishnanagar,78,Tehatta ,110939,Natna
709,320,Nadia,3042,Tehatta-I,12,Krishnanagar,78,Tehatta ,110938,Kanainagar
710,320,Nadia,3042,Tehatta-I,12,Krishnanagar,78,Tehatta ,110943,Shyamnagar
711,320,Nadia,3042,Tehatta-I,12,Krishnanagar,78,Tehatta ,110935,Betai-Ii
712,320,Nadia,3042,Tehatta-I,12,Krishnanagar,78,Tehatta ,110934,Batai-I
713,320,Nadia,3042,Tehatta-I,12,Krishnanagar,78,Tehatta ,110942,Raghunathpur
714,320,Nadia,3042,Tehatta-I,12,Krishnanagar,78,Tehatta ,110944,Tehatta
715,320,Nadia,3042,Tehatta-I,12,Krishnanagar,78,Tehatta ,110940,Patharghata-I
716,304,South 24 Parganas,2769,Namkhana,20,Mathurapur ,131,Kakdwip ,108241,Budhakhali
717,304,South 24 Parganas,2769,Namkhana,20,Mathurapur ,131,Kakdwip ,108246,Narayanpur
718,304,South 24 Parganas,2755,Diamond Harbour-I,20,Mathurapur ,142,Magrahat Paschim ,108092,Netra
719,304,South 24 Parganas,2767,Mathurapur I,20,Mathurapur ,135,Mandirbazar ,108226,Mathurapur Purba
720,304,South 24 Parganas,2767,Mathurapur I,20,Mathurapur ,135,Mandirbazar ,108229,Uttar Lakshminarayanpur
721,304,South 24 Parganas,2767,Mathurapur I,20,Mathurapur ,135,Mandirbazar ,108225,Mathurapur Paschim
722,304,South 24 Parganas,2767,Mathurapur I,20,Mathurapur ,135,Mandirbazar ,108221,Dakshin Lakshminarayanpur
723,304,South 24 Parganas,2767,Mathurapur I,20,Mathurapur ,134,Raidighi ,108228,Shankarpur
724,304,South 24 Parganas,2767,Mathurapur I,20,Mathurapur ,134,Raidighi ,108223,Krishnachandrapur
725,304,South 24 Parganas,2767,Mathurapur I,20,Mathurapur ,134,Raidighi ,108222,Debipur
726,304,South 24 Parganas,2767,Mathurapur I,20,Mathurapur ,134,Raidighi ,108220,Abad Bhagawanpur
727,304,South 24 Parganas,2767,Mathurapur I,20,Mathurapur ,134,Raidighi ,108224,Lalpur
728,304,South 24 Parganas,2767,Mathurapur I,20,Mathurapur ,134,Raidighi ,108227,Nalua
729,304,South 24 Parganas,2769,Namkhana,20,Mathurapur ,132,Sagar ,108242,Frezarganj
730,304,South 24 Parganas,2769,Namkhana,20,Mathurapur ,132,Sagar ,108244,Mausini
731,304,South 24 Parganas,2769,Namkhana,20,Mathurapur ,132,Sagar ,108243,Haripur
732,304,South 24 Parganas,2769,Namkhana,20,Mathurapur ,132,Sagar ,108247,Shibrampur
733,304,South 24 Parganas,2769,Namkhana,20,Mathurapur ,132,Sagar ,108245,Namkhana
734,318,Paschim Medinipur,2976,Dantan-I,34,Medinipur,219,Dantan ,110259,Chakismailpur
735,317,Purba Medinipur,2954,Egra-Ii,34,Medinipur,218,Egra ,110067,Manjusree
736,317,Purba Medinipur,2954,Egra-Ii,34,Medinipur,218,Egra ,110065,Deshbandhu
737,317,Purba Medinipur,2954,Egra-Ii,34,Medinipur,218,Egra ,110068,Paniparul
738,317,Purba Medinipur,2954,Egra-Ii,34,Medinipur,218,Egra ,110066,Dubda
739,317,Purba Medinipur,2954,Egra-Ii,34,Medinipur,218,Egra ,110069,Sarbodaya
740,317,Purba Medinipur,2954,Egra-Ii,34,Medinipur,218,Egra ,110063,Basudevpur
741,317,Purba Medinipur,2954,Egra-Ii,34,Medinipur,218,Egra ,110070,Vivekananda
742,318,Paschim Medinipur,2993,Midnapore,34,Medinipur,228,Kharagpur ,110429,Banpura
743,318,Paschim Medinipur,2993,Midnapore,34,Medinipur,228,Kharagpur ,110434,Panchkhuri-Ii
744,318,Paschim Medinipur,2993,Midnapore,34,Medinipur,228,Kharagpur ,110436,Shiromoni
745,318,Paschim Medinipur,2993,Midnapore,34,Medinipur,228,Kharagpur ,110435,Pathra
746,318,Paschim Medinipur,2993,Midnapore,34,Medinipur,228,Kharagpur ,110433,Panchkhuri-I
747,318,Paschim Medinipur,2993,Midnapore,34,Medinipur,236,Medinipur ,110431,Dherua
748,318,Paschim Medinipur,2993,Midnapore,34,Medinipur,236,Medinipur ,110430,Chandra
749,318,Paschim Medinipur,2993,Midnapore,34,Medinipur,236,Medinipur ,110437,Tantigeria
750,318,Paschim Medinipur,2993,Midnapore,34,Medinipur,236,Medinipur ,110432,Monidaha
751,318,Paschim Medinipur,2999,Salbani,34,Medinipur,236,Medinipur ,110503,Shatpati
752,318,Paschim Medinipur,2999,Salbani,34,Medinipur,236,Medinipur ,110494,Bankibandh
753,318,Paschim Medinipur,2999,Salbani,34,Medinipur,236,Medinipur ,110500,Kashijora
754,318,Paschim Medinipur,2999,Salbani,34,Medinipur,236,Medinipur ,110498,Garhmal
755,318,Paschim Medinipur,2999,Salbani,34,Medinipur,236,Medinipur ,110499,Karnagarh
756,319,Murshidabad,3005,Bhagawangola-I,11,Murshidabad,62,Bhagabangola ,110567,Mahisasthali
757,319,Murshidabad,3005,Bhagawangola-I,11,Murshidabad,62,Bhagabangola ,110566,Mahammadpur
758,319,Murshidabad,3005,Bhagawangola-I,11,Murshidabad,62,Bhagabangola ,110565,Kuthirampur
759,319,Murshidabad,3005,Bhagawangola-I,11,Murshidabad,62,Bhagabangola ,110568,Sundarpur
760,319,Murshidabad,3005,Bhagawangola-I,11,Murshidabad,62,Bhagabangola ,110561,Bhagawangola
761,319,Murshidabad,3005,Bhagawangola-I,11,Murshidabad,62,Bhagabangola ,110562,Habaspur
762,319,Murshidabad,3005,Bhagawangola-I,11,Murshidabad,62,Bhagabangola ,110563,Hanumantanagar
763,319,Murshidabad,3009,Domkal,11,Murshidabad,75,Domkal ,110601,Garaimari
764,319,Murshidabad,3009,Domkal,11,Murshidabad,75,Domkal ,110606,Juranpur
765,319,Murshidabad,3009,Domkal,11,Murshidabad,75,Domkal ,110607,Madhurkul
766,319,Murshidabad,3009,Domkal,11,Murshidabad,75,Domkal ,110609,Sarangpur
767,319,Murshidabad,3009,Domkal,11,Murshidabad,75,Domkal ,110598,Bhagirathpur
768,319,Murshidabad,3009,Domkal,11,Murshidabad,75,Domkal ,110608,Raipur
769,319,Murshidabad,3009,Domkal,11,Murshidabad,75,Domkal ,110602,Garibpur
770,319,Murshidabad,3009,Domkal,11,Murshidabad,75,Domkal ,110603,Ghoramara
771,319,Murshidabad,3003,Berhampore,11,Murshidabad,73,Hariharpara ,110545,Madanpur
772,319,Murshidabad,3003,Berhampore,11,Murshidabad,73,Hariharpara ,110540,Chhaighari
773,319,Murshidabad,3022,Raninagar-Ii,11,Murshidabad,76,Jalangi ,110725,Katlamari-I
774,319,Murshidabad,3022,Raninagar-Ii,11,Murshidabad,76,Jalangi ,110726,Katlamari-Ii
775,319,Murshidabad,3022,Raninagar-Ii,11,Murshidabad,76,Jalangi ,110729,Rajapur
776,320,Nadia,3033,Karimpur-Ii,11,Murshidabad,77,Karimpur ,110844,Murutia
777,320,Nadia,3033,Karimpur-Ii,11,Murshidabad,77,Karimpur ,110850,Rahamatpur
778,320,Nadia,3033,Karimpur-Ii,11,Murshidabad,77,Karimpur ,110848,Natidanga-I
779,320,Nadia,3033,Karimpur-Ii,11,Murshidabad,77,Karimpur ,110849,Natidanga-Ii
780,320,Nadia,3033,Karimpur-Ii,11,Murshidabad,77,Karimpur ,110841,Dhoradaha-I
781,320,Nadia,3033,Karimpur-Ii,11,Murshidabad,77,Karimpur ,110842,Dhoradaha-Ii
782,319,Murshidabad,3009,Domkal,11,Murshidabad,63,Raninagar ,110599,Dhulauri
783,319,Murshidabad,3022,Raninagar-Ii,11,Murshidabad,63,Raninagar ,110724,Kalinagar-Ii
784,319,Murshidabad,3022,Raninagar-Ii,11,Murshidabad,63,Raninagar ,110730,Raninagar-I
785,319,Murshidabad,3022,Raninagar-Ii,11,Murshidabad,76,Jalangi ,110731,Raninagar-Ii
786,319,Murshidabad,3022,Raninagar-Ii,11,Murshidabad,63,Raninagar ,110727,Malibari-I
787,319,Murshidabad,3022,Raninagar-Ii,11,Murshidabad,63,Raninagar ,110728,Malibari-Ii
788,319,Murshidabad,3022,Raninagar-Ii,11,Murshidabad,63,Raninagar ,110723,Kalinagar-I
789,321,Purulia,3044,Arsha,35,Purulia,240,Baghmundi ,110959,Sirkabad
790,321,Purulia,3044,Arsha,35,Purulia,240,Baghmundi ,110956,Hetgugui
791,321,Purulia,3044,Arsha,35,Purulia,239,Balarampur,110954,Chatuhansa
792,321,Purulia,3044,Arsha,35,Purulia,239,Balarampur,110958,Puara
793,321,Purulia,3059,Purulia-I,35,Purulia,239,Balarampur,111088,Dimdiha
794,321,Purulia,3059,Purulia-I,35,Purulia,239,Balarampur,111087,Chakaltore
795,321,Purulia,3059,Purulia-I,35,Purulia,239,Balarampur,111090,Garafusra
796,321,Purulia,3059,Purulia-I,35,Purulia,239,Balarampur,111091,Lagda
797,321,Purulia,3059,Purulia-I,35,Purulia,239,Balarampur,111093,Sonaijuri
798,321,Purulia,3059,Purulia-I,35,Purulia,239,Balarampur,111089,Durku
799,321,Purulia,3044,Arsha,35,Purulia,241,Joypur,110952,Arsha
800,321,Purulia,3044,Arsha,35,Purulia,241,Joypur,110957,Mankiary
801,321,Purulia,3044,Arsha,35,Purulia,241,Joypur,110953,Beldih
802,321,Purulia,3049,Hura,35,Purulia,244,Kashipur ,110996,Jabarrah
803,321,Purulia,3049,Hura,35,Purulia,244,Kashipur ,111000,Lakhanpur
804,321,Purulia,3049,Hura,35,Purulia,244,Kashipur ,110998,Keshergarh
805,321,Purulia,3049,Hura,35,Purulia,244,Kashipur ,110999,Ladhurka
806,321,Purulia,3049,Hura,35,Purulia,244,Kashipur ,110997,Kalabani
807,321,Purulia,3049,Hura,35,Purulia,244,Kashipur ,111002,Rakhera-Bispuria
808,321,Purulia,3049,Hura,35,Purulia,244,Kashipur ,110995,Hura
809,321,Purulia,3049,Hura,35,Purulia,243,Manbazar ,110993,Chatumadar
810,321,Purulia,3049,Hura,35,Purulia,243,Manbazar ,111001,Maguria-Lalpur
811,321,Purulia,3049,Hura,35,Purulia,243,Manbazar ,110994,Daldali
812,321,Purulia,3059,Purulia-I,35,Purulia,242,Purulia ,111092,Manara
813,321,Purulia,3059,Purulia-I,35,Purulia,242,Purulia ,111086,Bhandarpuara-Chipida
814,311,Uttar Dinajpur,2885,Karandighi,5,Raiganj,31,Chakulia,109321,Bazargaon-I
815,311,Uttar Dinajpur,2885,Karandighi,5,Raiganj,31,Chakulia,109322,Bazargaon-Ii
816,311,Uttar Dinajpur,2886,Raiganj,5,Raiganj,33,Hemtabad ,109343,Rampur
817,311,Uttar Dinajpur,2886,Raiganj,5,Raiganj,33,Hemtabad ,109338,Jagadishpur
818,311,Uttar Dinajpur,2886,Raiganj,5,Raiganj,33,Hemtabad ,109345,Sitgram
819,311,Uttar Dinajpur,2886,Raiganj,5,Raiganj,33,Hemtabad ,109334,Bhatun
820,311,Uttar Dinajpur,2886,Raiganj,5,Raiganj,33,Hemtabad ,109335,Bindole
821,311,Uttar Dinajpur,2886,Raiganj,5,Raiganj,33,Hemtabad ,109341,Mahipur
822,311,Uttar Dinajpur,2886,Raiganj,5,Raiganj,33,Hemtabad ,109344,Serpur
823,311,Uttar Dinajpur,2882,Islampur,5,Raiganj,29,Islampur,109286,Agdimti-Khanti
824,311,Uttar Dinajpur,2882,Islampur,5,Raiganj,29,Islampur,109290,Gunjaria
825,311,Uttar Dinajpur,2882,Islampur,5,Raiganj,29,Islampur,109287,Gaisal-I
826,311,Uttar Dinajpur,2882,Islampur,5,Raiganj,29,Islampur,109296,Panditpota-Ii
827,311,Uttar Dinajpur,2882,Islampur,5,Raiganj,29,Islampur,109291,Islampur
828,311,Uttar Dinajpur,2882,Islampur,5,Raiganj,29,Islampur,109294,Matikunda-Ii
829,311,Uttar Dinajpur,2882,Islampur,5,Raiganj,29,Islampur,109295,Panditpota-I
830,311,Uttar Dinajpur,2882,Islampur,5,Raiganj,29,Islampur,109297,Ramganj-I
831,311,Uttar Dinajpur,2882,Islampur,5,Raiganj,29,Islampur,109293,Matikunda-I
832,311,Uttar Dinajpur,2882,Islampur,5,Raiganj,29,Islampur,109288,Gaisal-Ii
833,311,Uttar Dinajpur,2882,Islampur,5,Raiganj,29,Islampur,109298,Ramganj-Ii
834,311,Uttar Dinajpur,2885,Karandighi,5,Raiganj,32,Karandighi ,109323,Dalkhola-I
835,311,Uttar Dinajpur,2885,Karandighi,5,Raiganj,32,Karandighi ,109328,Lahutara-Ii
836,311,Uttar Dinajpur,2885,Karandighi,5,Raiganj,32,Karandighi ,109326,Karandighi-Ii
837,311,Uttar Dinajpur,2885,Karandighi,5,Raiganj,32,Karandighi ,109320,Altapur-Ii
838,311,Uttar Dinajpur,2885,Karandighi,5,Raiganj,32,Karandighi ,109329,Raniganj
839,311,Uttar Dinajpur,2885,Karandighi,5,Raiganj,32,Karandighi ,109319,Altapur-I
840,311,Uttar Dinajpur,2885,Karandighi,5,Raiganj,32,Karandighi ,109331,Rasakhowa-Ii
841,311,Uttar Dinajpur,2885,Karandighi,5,Raiganj,32,Karandighi ,109324,Domohona
842,311,Uttar Dinajpur,2885,Karandighi,5,Raiganj,32,Karandighi ,109325,Karandighi-I
843,311,Uttar Dinajpur,2885,Karandighi,5,Raiganj,32,Karandighi ,109327,Lahutara-I
844,311,Uttar Dinajpur,2885,Karandighi,5,Raiganj,32,Karandighi ,109330,Rasakhowa-I
845,311,Uttar Dinajpur,2886,Raiganj,5,Raiganj,34,Kaliaganj ,109336,Birghoi
846,311,Uttar Dinajpur,2886,Raiganj,5,Raiganj,35,Raiganj ,109333,Barua
847,313,Howrah,2909,Bally-Jagacha,27,Sreerampur,184,Domjur ,109602,Jagadishpur
848,313,Howrah,2910,Domjur,27,Sreerampur,184,Domjur ,109617,Narna
849,313,Howrah,2910,Domjur,27,Sreerampur,184,Domjur ,109620,Shalap-I
850,313,Howrah,2910,Domjur,27,Sreerampur,184,Domjur ,109616,Makardah-Ii
851,313,Howrah,2910,Domjur,27,Sreerampur,183,Jagatballavpur ,109622,Uttar Jhapardaha
852,313,Howrah,2910,Domjur,27,Sreerampur,183,Jagatballavpur ,109618,Parbatipur
